recommendation_id,next_questions_id
1014,1602
1014,1605
1233,1607
1732,1608
1732,1610
1732,1612
1732,1614
1732,1616
1732,1618
1732,1620
1732,1623
1732,1624
1732,1626
1732,1627
1732,1629
1732,1631
1732,1632
1443,1633
1732,1633
1732,1634
1732,1635
1732,1638
1732,1643
1732,1645
1228,1645
1229,1645
1732,1646
1228,1646
1229,1646
1732,1647
1228,1647
1229,1647
1732,1648
1228,1648
1229,1648
1732,1649
1732,1650
1228,1650
1229,1650
1732,1651
1228,1651
1229,1651
1732,1652
1228,1652
1229,1652
1732,1654
1228,1654
1229,1654
1732,1655
1228,1655
1229,1655
1732,1657
1228,1657
1229,1657
1732,1658
1228,1658
1229,1658
1732,1659
1228,1659
1229,1659
1732,1660
1732,1662
1228,1662
1229,1662
1732,1663
1228,1663
1229,1663
1732,1664
1228,1664
1229,1664
1732,1667
1228,1667
1229,1667
1732,1668
1732,1670
1228,1670
1229,1670
1732,1671
1732,1681
1732,1683
1732,1687
1597,1688
1597,1689
1732,1690
1732,1691
1732,1693
1732,1703
1732,1704
1732,1705
1732,1706
1732,1707
1732,1708
1732,1709
1732,1710
1732,1711
1732,1712
1732,1713
1732,1714
1732,1715
1732,1716
1732,1717
1732,1718
1732,1719
1732,1720
1732,1721
1732,1722
1732,1723
1732,1724
1732,1725
1732,1728
1732,1729
1732,1730
1732,1731
1732,1732
1732,1734
1732,1735
1732,1736
1732,1739
1732,1741
